Orders.Ship Date.Variation.Date Hierarchy.Month,Orders.Ship Date.Variation.Date Hierarchy.Quarter,Orders.Region,Orders.City,Sum(Orders.Quantity),Sum(Orders.Profit)
December,Qtr 4,East,Akron,6,6.2292
January,Qtr 1,East,Allentown,,
February,Qtr 1,East,Allentown,,
March,Qtr 1,East,Allentown,,
April,Qtr 2,East,Allentown,,
May,Qtr 2,East,Allentown,,
June,Qtr 2,East,Allentown,,
July,Qtr 3,East,Allentown,4,3.7128000000000014
August,Qtr 3,East,Allentown,16,-230.16319999999996
September,Qtr 3,East,Allentown,,
October,Qtr 4,East,Allentown,,
November,Qtr 4,East,Allentown,,
December,Qtr 4,East,Allentown,,
January,Qtr 1,East,Altoona,,
February,Qtr 1,East,Altoona,9,-1.1835000000000022
March,Qtr 1,East,Altoona,,
April,Qtr 2,East,Altoona,,
May,Qtr 2,East,Altoona,,
June,Qtr 2,East,Altoona,,
July,Qtr 3,East,Altoona,,
August,Qtr 3,East,Altoona,,
September,Qtr 3,East,Altoona,,
October,Qtr 4,East,Altoona,,
November,Qtr 4,East,Altoona,,
December,Qtr 4,East,Altoona,,
January,Qtr 1,East,Andover,,
February,Qtr 1,East,Andover,,
March,Qtr 1,East,Andover,13,124.18860000000002
April,Qtr 2,East,Andover,,
May,Qtr 2,East,Andover,,
June,Qtr 2,East,Andover,,
July,Qtr 3,East,Andover,,
August,Qtr 3,East,Andover,,
September,Qtr 3,East,Andover,,
October,Qtr 4,East,Andover,,
November,Qtr 4,East,Andover,,
December,Qtr 4,East,Andover,,
January,Qtr 1,East,Atlantic City,,
February,Qtr 1,East,Atlantic City,2,11.68
March,Qtr 1,East,Atlantic City,,
April,Qtr 2,East,Atlantic City,,
May,Qtr 2,East,Atlantic City,,
June,Qtr 2,East,Atlantic City,,
July,Qtr 3,East,Atlantic City,,
August,Qtr 3,East,Atlantic City,,
September,Qtr 3,East,Atlantic City,,
October,Qtr 4,East,Atlantic City,,
November,Qtr 4,East,Atlantic City,,
December,Qtr 4,East,Atlantic City,,
January,Qtr 1,East,Auburn,,
February,Qtr 1,East,Auburn,,
March,Qtr 1,East,Auburn,,
April,Qtr 2,East,Auburn,22,116.34880000000001
May,Qtr 2,East,Auburn,8,78.01830000000002
June,Qtr 2,East,Auburn,,
July,Qtr 3,East,Auburn,9,13.324499999999999
August,Qtr 3,East,Auburn,,
September,Qtr 3,East,Auburn,13,44.749399999999994
October,Qtr 4,East,Auburn,8,22.5408
November,Qtr 4,East,Auburn,,
December,Qtr 4,East,Auburn,3,5.823
January,Qtr 1,East,Baltimore,,
February,Qtr 1,East,Baltimore,6,9.2898
March,Qtr 1,East,Baltimore,,
April,Qtr 2,East,Baltimore,14,242.58500000000004
May,Qtr 2,East,Baltimore,39,295.2255
June,Qtr 2,East,Baltimore,,
July,Qtr 3,East,Baltimore,14,112.33359999999998
August,Qtr 3,East,Baltimore,14,63.346799999999995
September,Qtr 3,East,Baltimore,32,160.50759999999997
October,Qtr 4,East,Baltimore,11,66.67000000000002
November,Qtr 4,East,Baltimore,17,222.79520000000002
December,Qtr 4,East,Baltimore,37,503.4445
January,Qtr 1,East,Bangor,,
February,Qtr 1,East,Bangor,,
March,Qtr 1,East,Bangor,,
April,Qtr 2,East,Bangor,,
May,Qtr 2,East,Bangor,,
June,Qtr 2,East,Bangor,,
July,Qtr 3,East,Bangor,,
August,Qtr 3,East,Bangor,24,256.9266
September,Qtr 3,East,Bangor,5,165.29379999999998
October,Qtr 4,East,Bangor,,
November,Qtr 4,East,Bangor,,
December,Qtr 4,East,Bangor,,
January,Qtr 1,East,Bayonne,,
February,Qtr 1,East,Bayonne,,
March,Qtr 1,East,Bayonne,,
April,Qtr 2,East,Bayonne,,
May,Qtr 2,East,Bayonne,,
June,Qtr 2,East,Bayonne,,
July,Qtr 3,East,Bayonne,,
August,Qtr 3,East,Bayonne,,
September,Qtr 3,East,Bayonne,9,79.40299999999999
October,Qtr 4,East,Bayonne,,
November,Qtr 4,East,Bayonne,,
December,Qtr 4,East,Bayonne,,
January,Qtr 1,East,Belleville,,
February,Qtr 1,East,Belleville,2,36.473600000000005
March,Qtr 1,East,Belleville,,
April,Qtr 2,East,Belleville,,
May,Qtr 2,East,Belleville,,
June,Qtr 2,East,Belleville,5,76.80279999999999
July,Qtr 3,East,Belleville,,
August,Qtr 3,East,Belleville,,
September,Qtr 3,East,Belleville,,
October,Qtr 4,East,Belleville,4,72.0864
November,Qtr 4,East,Belleville,21,98.2864000000001
December,Qtr 4,East,Belleville,,
January,Qtr 1,East,Bethlehem,,
February,Qtr 1,East,Bethlehem,,
March,Qtr 1,East,Bethlehem,4,-12.552799999999996
April,Qtr 2,East,Bethlehem,,
May,Qtr 2,East,Bethlehem,,
June,Qtr 2,East,Bethlehem,,
July,Qtr 3,East,Bethlehem,14,-990.5429999999999
August,Qtr 3,East,Bethlehem,,
September,Qtr 3,East,Bethlehem,,
October,Qtr 4,East,Bethlehem,,
November,Qtr 4,East,Bethlehem,,
December,Qtr 4,East,Bethlehem,,
January,Qtr 1,East,Beverly,15,654.9193999999998
February,Qtr 1,East,Beverly,,
March,Qtr 1,East,Beverly,,
April,Qtr 2,East,Beverly,,
May,Qtr 2,East,Beverly,,
June,Qtr 2,East,Beverly,,
July,Qtr 3,East,Beverly,,
August,Qtr 3,East,Beverly,,
September,Qtr 3,East,Beverly,,
October,Qtr 4,East,Beverly,,
November,Qtr 4,East,Beverly,,
December,Qtr 4,East,Beverly,,
January,Qtr 1,East,Bowling Green,,
February,Qtr 1,East,Bowling Green,,
March,Qtr 1,East,Bowling Green,,
April,Qtr 2,East,Bowling Green,,
May,Qtr 2,East,Bowling Green,,
June,Qtr 2,East,Bowling Green,,
July,Qtr 3,East,Bowling Green,,
August,Qtr 3,East,Bowling Green,9,55.54709999999992
September,Qtr 3,East,Bowling Green,2,19.823999999999998
October,Qtr 4,East,Bowling Green,,
November,Qtr 4,East,Bowling Green,11,78.6459999999999
December,Qtr 4,East,Bowling Green,3,-4.072200000000002
January,Qtr 1,East,Bridgeton,,
February,Qtr 1,East,Bridgeton,,
March,Qtr 1,East,Bridgeton,,
April,Qtr 2,East,Bridgeton,,
May,Qtr 2,East,Bridgeton,,
June,Qtr 2,East,Bridgeton,,
July,Qtr 3,East,Bridgeton,,
August,Qtr 3,East,Bridgeton,,
September,Qtr 3,East,Bridgeton,,
October,Qtr 4,East,Bridgeton,,
November,Qtr 4,East,Bridgeton,6,3.4415999999999993
December,Qtr 4,East,Bridgeton,,
January,Qtr 1,East,Bristol,,
February,Qtr 1,East,Bristol,,
March,Qtr 1,East,Bristol,,
April,Qtr 2,East,Bristol,,
May,Qtr 2,East,Bristol,,
June,Qtr 2,East,Bristol,,
July,Qtr 3,East,Bristol,6,100.99640000000002
August,Qtr 3,East,Bristol,,
September,Qtr 3,East,Bristol,11,107.1603
October,Qtr 4,East,Bristol,,
November,Qtr 4,East,Bristol,,
December,Qtr 4,East,Bristol,,
January,Qtr 1,East,Buffalo,,
February,Qtr 1,East,Buffalo,,
March,Qtr 1,East,Buffalo,,
April,Qtr 2,East,Buffalo,,
May,Qtr 2,East,Buffalo,,
June,Qtr 2,East,Buffalo,16,185.88540000000006
July,Qtr 3,East,Buffalo,1,10.647000000000004
August,Qtr 3,East,Buffalo,,
September,Qtr 3,East,Buffalo,,
October,Qtr 4,East,Buffalo,,
November,Qtr 4,East,Buffalo,24,756.3666999999995
December,Qtr 4,East,Buffalo,5,39.97999999999999
January,Qtr 1,East,Burlington,30,648.7564
February,Qtr 1,East,Burlington,,
March,Qtr 1,East,Burlington,,
April,Qtr 2,East,Burlington,5,336.635
May,Qtr 2,East,Burlington,,
June,Qtr 2,East,Burlington,,
July,Qtr 3,East,Burlington,,
August,Qtr 3,East,Burlington,,
September,Qtr 3,East,Burlington,,
October,Qtr 4,East,Burlington,,
November,Qtr 4,East,Burlington,8,1191.9270000000001
December,Qtr 4,East,Burlington,7,67.65989999999998
January,Qtr 1,East,Cambridge,,
February,Qtr 1,East,Cambridge,,
March,Qtr 1,East,Cambridge,5,36.67
April,Qtr 2,East,Cambridge,,
May,Qtr 2,East,Cambridge,,
June,Qtr 2,East,Cambridge,,
July,Qtr 3,East,Cambridge,,
August,Qtr 3,East,Cambridge,,
September,Qtr 3,East,Cambridge,,
October,Qtr 4,East,Cambridge,7,103.92099999999999
November,Qtr 4,East,Cambridge,7,33.136599999999994
December,Qtr 4,East,Cambridge,,
January,Qtr 1,East,Chester,,
February,Qtr 1,East,Chester,,
March,Qtr 1,East,Chester,8,4.229999999999995
April,Qtr 2,East,Chester,,
May,Qtr 2,East,Chester,29,113.41789999999995
June,Qtr 2,East,Chester,11,-20.035499999999992
July,Qtr 3,East,Chester,,
August,Qtr 3,East,Chester,,
September,Qtr 3,East,Chester,7,-49.254599999999996
October,Qtr 4,East,Chester,,
November,Qtr 4,East,Chester,,
December,Qtr 4,East,Chester,,
January,Qtr 1,East,Cincinnati,,
February,Qtr 1,East,Cincinnati,5,31.51079999999996
March,Qtr 1,East,Cincinnati,,
April,Qtr 2,East,Cincinnati,,
May,Qtr 2,East,Cincinnati,3,31.761599999999998
June,Qtr 2,East,Cincinnati,2,69.99899999999991
July,Qtr 3,East,Cincinnati,7,3.685499999999996
August,Qtr 3,East,Cincinnati,8,-12.287999999999997
September,Qtr 3,East,Cincinnati,17,48.1392
October,Qtr 4,East,Cincinnati,3,-4.640999999999998
November,Qtr 4,East,Cincinnati,9,-6.979399999999999
December,Qtr 4,East,Cincinnati,4,14.1494
January,Qtr 1,East,Cleveland,19,-239.3599
February,Qtr 1,East,Cleveland,,
March,Qtr 1,East,Cleveland,5,-239.54360000000003
April,Qtr 2,East,Cleveland,12,-52.07000000000009
May,Qtr 2,East,Cleveland,24,-73.04289999999995
June,Qtr 2,East,Cleveland,18,-91.825
July,Qtr 3,East,Cleveland,16,-50.25000000000002
August,Qtr 3,East,Cleveland,2,1.9271999999999991
September,Qtr 3,East,Cleveland,16,-70.89540000000004
October,Qtr 4,East,Cleveland,,
November,Qtr 4,East,Cleveland,15,-53.3948
December,Qtr 4,East,Cleveland,11,20.4465
January,Qtr 1,East,Clifton,,
February,Qtr 1,East,Clifton,,
March,Qtr 1,East,Clifton,,
April,Qtr 2,East,Clifton,,
May,Qtr 2,East,Clifton,,
June,Qtr 2,East,Clifton,,
July,Qtr 3,East,Clifton,,
August,Qtr 3,East,Clifton,,
September,Qtr 3,East,Clifton,9,98.58839999999998
October,Qtr 4,East,Clifton,,
November,Qtr 4,East,Clifton,,
December,Qtr 4,East,Clifton,,
January,Qtr 1,East,Clinton,,
February,Qtr 1,East,Clinton,17,-26.98330000000003
March,Qtr 1,East,Clinton,9,30.057600000000004
April,Qtr 2,East,Clinton,,
May,Qtr 2,East,Clinton,,
June,Qtr 2,East,Clinton,,
July,Qtr 3,East,Clinton,41,435.0198
August,Qtr 3,East,Clinton,,
September,Qtr 3,East,Clinton,21,497.4408000000001
October,Qtr 4,East,Clinton,1,8.591400000000002
November,Qtr 4,East,Clinton,3,43.67520000000002
December,Qtr 4,East,Clinton,27,286.44059999999996
January,Qtr 1,East,Columbia,,
February,Qtr 1,East,Columbia,2,1270.99
March,Qtr 1,East,Columbia,16,722.1095
April,Qtr 2,East,Columbia,,
May,Qtr 2,East,Columbia,,
June,Qtr 2,East,Columbia,,
July,Qtr 3,East,Columbia,16,47.3484
August,Qtr 3,East,Columbia,24,611.3671999999997
September,Qtr 3,East,Columbia,8,113.5934
October,Qtr 4,East,Columbia,7,18.453400000000002
November,Qtr 4,East,Columbia,17,991.3617999999998
December,Qtr 4,East,Columbia,,
January,Qtr 1,East,Columbus,18,11.957199999999995
February,Qtr 1,East,Columbus,21,-6.341499999999996
March,Qtr 1,East,Columbus,51,-146.85430000000002
April,Qtr 2,East,Columbus,34,51.0916
May,Qtr 2,East,Columbus,19,-83.76870000000001
June,Qtr 2,East,Columbus,2,5.881200000000001
July,Qtr 3,East,Columbus,37,-9.050799999999981
August,Qtr 3,East,Columbus,57,40.6185
September,Qtr 3,East,Columbus,25,5.471600000000008
October,Qtr 4,East,Columbus,43,-110.68859999999997
November,Qtr 4,East,Columbus,65,-325.96799999999996
December,Qtr 4,East,Columbus,92,-161.85339999999997
January,Qtr 1,East,Concord,7,144.66819999999996
February,Qtr 1,East,Concord,,
March,Qtr 1,East,Concord,,
April,Qtr 2,East,Concord,,
May,Qtr 2,East,Concord,8,101.4504
June,Qtr 2,East,Concord,,
July,Qtr 3,East,Concord,1,26.598
August,Qtr 3,East,Concord,19,327.67619999999994
September,Qtr 3,East,Concord,10,57.8751
October,Qtr 4,East,Concord,12,44.41559999999998
November,Qtr 4,East,Concord,,
December,Qtr 4,East,Concord,7,84.94359999999999
January,Qtr 1,East,Cranston,,
February,Qtr 1,East,Cranston,,
March,Qtr 1,East,Cranston,,
April,Qtr 2,East,Cranston,,
May,Qtr 2,East,Cranston,,
June,Qtr 2,East,Cranston,3,48.377100000000006
July,Qtr 3,East,Cranston,,
August,Qtr 3,East,Cranston,,
September,Qtr 3,East,Cranston,,
October,Qtr 4,East,Cranston,23,-43.00359999999995
November,Qtr 4,East,Cranston,20,472.08439999999996
December,Qtr 4,East,Cranston,6,160.03979999999999
January,Qtr 1,East,Cuyahoga Falls,,
February,Qtr 1,East,Cuyahoga Falls,,
March,Qtr 1,East,Cuyahoga Falls,4,-12.352
April,Qtr 2,East,Cuyahoga Falls,,
May,Qtr 2,East,Cuyahoga Falls,6,1.2527999999999997
June,Qtr 2,East,Cuyahoga Falls,,
July,Qtr 3,East,Cuyahoga Falls,,
August,Qtr 3,East,Cuyahoga Falls,,
September,Qtr 3,East,Cuyahoga Falls,,
October,Qtr 4,East,Cuyahoga Falls,,
November,Qtr 4,East,Cuyahoga Falls,,
December,Qtr 4,East,Cuyahoga Falls,3,-1.4760000000000004
January,Qtr 1,East,Danbury,,
February,Qtr 1,East,Danbury,,
March,Qtr 1,East,Danbury,,
April,Qtr 2,East,Danbury,,
May,Qtr 2,East,Danbury,,
June,Qtr 2,East,Danbury,,
July,Qtr 3,East,Danbury,,
August,Qtr 3,East,Danbury,,
September,Qtr 3,East,Danbury,,
October,Qtr 4,East,Danbury,,
November,Qtr 4,East,Danbury,,
December,Qtr 4,East,Danbury,2,9.8856
January,Qtr 1,East,Dover,2,3.0813999999999995
February,Qtr 1,East,Dover,6,16.146
March,Qtr 1,East,Dover,9,381.00379999999996
April,Qtr 2,East,Dover,,
May,Qtr 2,East,Dover,24,128.98620000000003
June,Qtr 2,East,Dover,5,11.054000000000002
July,Qtr 3,East,Dover,,
August,Qtr 3,East,Dover,,
September,Qtr 3,East,Dover,6,18.3786
October,Qtr 4,East,Dover,,
November,Qtr 4,East,Dover,5,36.030199999999994
December,Qtr 4,East,Dover,18,426.8139000000001
January,Qtr 1,East,Dublin,,
February,Qtr 1,East,Dublin,,
March,Qtr 1,East,Dublin,,
April,Qtr 2,East,Dublin,,
May,Qtr 2,East,Dublin,5,-69.88999999999999
June,Qtr 2,East,Dublin,23,82.86700000000002
July,Qtr 3,East,Dublin,,
August,Qtr 3,East,Dublin,,
September,Qtr 3,East,Dublin,1,1.7054999999999998
October,Qtr 4,East,Dublin,,
November,Qtr 4,East,Dublin,,
December,Qtr 4,East,Dublin,22,-365.987
January,Qtr 1,East,East Orange,,
February,Qtr 1,East,East Orange,,
March,Qtr 1,East,East Orange,,
April,Qtr 2,East,East Orange,,
May,Qtr 2,East,East Orange,,
June,Qtr 2,East,East Orange,,
July,Qtr 3,East,East Orange,,
August,Qtr 3,East,East Orange,,
September,Qtr 3,East,East Orange,,
October,Qtr 4,East,East Orange,,
November,Qtr 4,East,East Orange,17,160.9451
December,Qtr 4,East,East Orange,3,13.674000000000003
January,Qtr 1,East,Elyria,,
February,Qtr 1,East,Elyria,,
March,Qtr 1,East,Elyria,,
April,Qtr 2,East,Elyria,,
May,Qtr 2,East,Elyria,,
June,Qtr 2,East,Elyria,,
July,Qtr 3,East,Elyria,,
August,Qtr 3,East,Elyria,,
September,Qtr 3,East,Elyria,,
October,Qtr 4,East,Elyria,,
November,Qtr 4,East,Elyria,1,-1.3983999999999996
December,Qtr 4,East,Elyria,,
January,Qtr 1,East,Everett,,
February,Qtr 1,East,Everett,,
March,Qtr 1,East,Everett,,
April,Qtr 2,East,Everett,,
May,Qtr 2,East,Everett,5,42.047999999999995
June,Qtr 2,East,Everett,,
July,Qtr 3,East,Everett,,
August,Qtr 3,East,Everett,,
September,Qtr 3,East,Everett,18,626.7033
October,Qtr 4,East,Everett,19,312.9472000000001
November,Qtr 4,East,Everett,41,378.3824
December,Qtr 4,East,Everett,,
January,Qtr 1,East,Fairfield,1,-15.5826
February,Qtr 1,East,Fairfield,4,88.47650000000002
March,Qtr 1,East,Fairfield,8,148.8568
April,Qtr 2,East,Fairfield,,
May,Qtr 2,East,Fairfield,,
June,Qtr 2,East,Fairfield,5,34.97399999999999
July,Qtr 3,East,Fairfield,1,1.1924999999999997
August,Qtr 3,East,Fairfield,8,35.5802
September,Qtr 3,East,Fairfield,32,108.74339999999995
October,Qtr 4,East,Fairfield,12,-103.17240000000005
November,Qtr 4,East,Fairfield,30,246.88339999999994
December,Qtr 4,East,Fairfield,54,546.3826999999999
January,Qtr 1,East,Franklin,8,50.7368
February,Qtr 1,East,Franklin,,
March,Qtr 1,East,Franklin,,
April,Qtr 2,East,Franklin,,
May,Qtr 2,East,Franklin,3,-130.0104
June,Qtr 2,East,Franklin,,
July,Qtr 3,East,Franklin,5,62.03799999999999
August,Qtr 3,East,Franklin,3,10.475399999999999
September,Qtr 3,East,Franklin,21,112.16980000000001
October,Qtr 4,East,Franklin,,
November,Qtr 4,East,Franklin,5,3.378499999999999
December,Qtr 4,East,Franklin,15,355.8406
January,Qtr 1,East,Freeport,,
February,Qtr 1,East,Freeport,,
March,Qtr 1,East,Freeport,,
April,Qtr 2,East,Freeport,,
May,Qtr 2,East,Freeport,,
June,Qtr 2,East,Freeport,8,20.348999999999993
July,Qtr 3,East,Freeport,,
August,Qtr 3,East,Freeport,,
September,Qtr 3,East,Freeport,4,16.458
October,Qtr 4,East,Freeport,,
November,Qtr 4,East,Freeport,2,6.036799999999999
December,Qtr 4,East,Freeport,3,64.518
January,Qtr 1,East,Gaithersburg,5,105.54099999999998
February,Qtr 1,East,Gaithersburg,,
March,Qtr 1,East,Gaithersburg,,
April,Qtr 2,East,Gaithersburg,,
May,Qtr 2,East,Gaithersburg,,
June,Qtr 2,East,Gaithersburg,,
July,Qtr 3,East,Gaithersburg,,
August,Qtr 3,East,Gaithersburg,,
September,Qtr 3,East,Gaithersburg,,
October,Qtr 4,East,Gaithersburg,,
November,Qtr 4,East,Gaithersburg,,
December,Qtr 4,East,Gaithersburg,,
January,Qtr 1,East,Grove City,,
February,Qtr 1,East,Grove City,,
March,Qtr 1,East,Grove City,,
April,Qtr 2,East,Grove City,,
May,Qtr 2,East,Grove City,,
June,Qtr 2,East,Grove City,,
July,Qtr 3,East,Grove City,,
August,Qtr 3,East,Grove City,,
September,Qtr 3,East,Grove City,,
October,Qtr 4,East,Grove City,,
November,Qtr 4,East,Grove City,12,13.195199999999991
December,Qtr 4,East,Grove City,,
January,Qtr 1,East,Hackensack,,
February,Qtr 1,East,Hackensack,,
March,Qtr 1,East,Hackensack,,
April,Qtr 2,East,Hackensack,,
May,Qtr 2,East,Hackensack,,
June,Qtr 2,East,Hackensack,,
July,Qtr 3,East,Hackensack,25,413.61249999999995
August,Qtr 3,East,Hackensack,,
September,Qtr 3,East,Hackensack,,
October,Qtr 4,East,Hackensack,3,37.6422
November,Qtr 4,East,Hackensack,,
December,Qtr 4,East,Hackensack,,
January,Qtr 1,East,Hagerstown,,
February,Qtr 1,East,Hagerstown,,
March,Qtr 1,East,Hagerstown,,
April,Qtr 2,East,Hagerstown,,
May,Qtr 2,East,Hagerstown,,
June,Qtr 2,East,Hagerstown,,
July,Qtr 3,East,Hagerstown,,
August,Qtr 3,East,Hagerstown,,
September,Qtr 3,East,Hagerstown,,
October,Qtr 4,East,Hagerstown,,
November,Qtr 4,East,Hagerstown,6,20.586
December,Qtr 4,East,Hagerstown,,
January,Qtr 1,East,Hamilton,,
February,Qtr 1,East,Hamilton,,
March,Qtr 1,East,Hamilton,5,2.7914000000000003
April,Qtr 2,East,Hamilton,,
May,Qtr 2,East,Hamilton,,
June,Qtr 2,East,Hamilton,5,9.293999999999997
July,Qtr 3,East,Hamilton,,
August,Qtr 3,East,Hamilton,,
September,Qtr 3,East,Hamilton,,
October,Qtr 4,East,Hamilton,,
November,Qtr 4,East,Hamilton,,
December,Qtr 4,East,Hamilton,3,-21.470400000000026
January,Qtr 1,East,Hempstead,,
February,Qtr 1,East,Hempstead,,
March,Qtr 1,East,Hempstead,,
April,Qtr 2,East,Hempstead,,
May,Qtr 2,East,Hempstead,,
June,Qtr 2,East,Hempstead,12,44.29559999999999
July,Qtr 3,East,Hempstead,,
August,Qtr 3,East,Hempstead,,
September,Qtr 3,East,Hempstead,,
October,Qtr 4,East,Hempstead,3,3.9102000000000006
November,Qtr 4,East,Hempstead,,
December,Qtr 4,East,Hempstead,36,580.8588000000002
January,Qtr 1,East,Holyoke,,
February,Qtr 1,East,Holyoke,,
March,Qtr 1,East,Holyoke,,
April,Qtr 2,East,Holyoke,,
May,Qtr 2,East,Holyoke,,
June,Qtr 2,East,Holyoke,,
July,Qtr 3,East,Holyoke,2,60.391999999999996
August,Qtr 3,East,Holyoke,,
September,Qtr 3,East,Holyoke,,
October,Qtr 4,East,Holyoke,,
November,Qtr 4,East,Holyoke,,
December,Qtr 4,East,Holyoke,,
January,Qtr 1,East,Jamestown,,
February,Qtr 1,East,Jamestown,,
March,Qtr 1,East,Jamestown,,
April,Qtr 2,East,Jamestown,,
May,Qtr 2,East,Jamestown,2,57.5928
June,Qtr 2,East,Jamestown,,
July,Qtr 3,East,Jamestown,,
August,Qtr 3,East,Jamestown,,
September,Qtr 3,East,Jamestown,,
October,Qtr 4,East,Jamestown,,
November,Qtr 4,East,Jamestown,7,1228.1787000000004
December,Qtr 4,East,Jamestown,,
January,Qtr 1,East,Kent,9,-34.2405
February,Qtr 1,East,Kent,,
March,Qtr 1,East,Kent,,
April,Qtr 2,East,Kent,,
May,Qtr 2,East,Kent,,
June,Qtr 2,East,Kent,,
July,Qtr 3,East,Kent,,
August,Qtr 3,East,Kent,,
September,Qtr 3,East,Kent,,
October,Qtr 4,East,Kent,,
November,Qtr 4,East,Kent,6,16.894799999999996
December,Qtr 4,East,Kent,5,6.044999999999995
January,Qtr 1,East,Lakewood,,
February,Qtr 1,East,Lakewood,,
March,Qtr 1,East,Lakewood,11,-79.25020000000005
April,Qtr 2,East,Lakewood,16,2399.3707999999997
May,Qtr 2,East,Lakewood,,
June,Qtr 2,East,Lakewood,27,478.6780999999999
July,Qtr 3,East,Lakewood,,
August,Qtr 3,East,Lakewood,15,37.481900000000024
September,Qtr 3,East,Lakewood,30,284.4756
October,Qtr 4,East,Lakewood,41,88.20279999999968
November,Qtr 4,East,Lakewood,18,4.578199999999999
December,Qtr 4,East,Lakewood,11,-23.471800000000005
January,Qtr 1,East,Lancaster,5,-35.215199999999996
February,Qtr 1,East,Lancaster,2,10.623199999999997
March,Qtr 1,East,Lancaster,,
April,Qtr 2,East,Lancaster,28,29.60329999999999
May,Qtr 2,East,Lancaster,,
June,Qtr 2,East,Lancaster,,
July,Qtr 3,East,Lancaster,13,-79.90369999999999
August,Qtr 3,East,Lancaster,10,68.38559999999998
September,Qtr 3,East,Lancaster,54,-238.21569999999994
October,Qtr 4,East,Lancaster,11,-80.51939999999999
November,Qtr 4,East,Lancaster,21,-101.3889
December,Qtr 4,East,Lancaster,12,-6891.874800000001
January,Qtr 1,East,Laurel,,
February,Qtr 1,East,Laurel,,
March,Qtr 1,East,Laurel,,
April,Qtr 2,East,Laurel,,
May,Qtr 2,East,Laurel,,
June,Qtr 2,East,Laurel,5,46.17329999999998
July,Qtr 3,East,Laurel,,
August,Qtr 3,East,Laurel,,
