GL Balances.Period Date.Variation.Date Hierarchy.Month,GL Balances.Period Date.Variation.Date Hierarchy.Quarter,GL Balances.Period Date.Variation.Date Hierarchy.Year,Sum(GL Balances.Report Amount)
August,Qtr 3,2023,4057978.7
September,Qtr 3,2023,7377038.57
October,Qtr 4,2023,2899447.21
November,Qtr 4,2023,4192711.56
December,Qtr 4,2023,9293833.58
January,Qtr 1,2024,5778590.82
February,Qtr 1,2024,4347345.5
March,Qtr 1,2024,2791686.24
April,Qtr 2,2024,7219785.03
May,Qtr 2,2024,6201396.89
June,Qtr 2,2024,2128870.4
July,Qtr 3,2024,9877538.87
August,Qtr 3,2024,7896310.64
September,Qtr 3,2024,4634928.14
October,Qtr 4,2024,3998400.45
November,Qtr 4,2024,8423605.87
December,Qtr 4,2024,1723245.89
January,Qtr 1,2020,6
February,Qtr 1,2020,1
March,Qtr 1,2020,2
April,Qtr 2,2020,0
May,Qtr 2,2020,5
June,Qtr 2,2020,3
July,Qtr 3,2020,7
August,Qtr 3,2020,9
September,Qtr 3,2020,5
October,Qtr 4,2020,2
November,Qtr 4,2020,6
December,Qtr 4,2020,4
January,Qtr 1,2021,0
February,Qtr 1,2021,9
March,Qtr 1,2021,2
April,Qtr 2,2021,3
May,Qtr 2,2021,0
June,Qtr 2,2021,9
July,Qtr 3,2021,2
August,Qtr 3,2021,5
September,Qtr 3,2021,4
October,Qtr 4,2021,4
November,Qtr 4,2021,2
December,Qtr 4,2021,9
January,Qtr 1,2022,144
February,Qtr 1,2022,822.9
March,Qtr 1,2022,572.2
April,Qtr 2,2022,331.2
May,Qtr 2,2022,119.7
June,Qtr 2,2022,348.78
July,Qtr 3,2022,561.43
August,Qtr 3,2022,1134.65
September,Qtr 3,2022,1100.62
October,Qtr 4,2022,5925.6
November,Qtr 4,2022,3108.7
December,Qtr 4,2022,4202.8
January,Qtr 1,2023,9448.8
February,Qtr 1,2023,8851.5
March,Qtr 1,2023,6606
April,Qtr 2,2023,1690.7
May,Qtr 2,2023,6562.4
June,Qtr 2,2023,9497.6
July,Qtr 3,2023,7031.8
August,Qtr 3,2023,95.2
September,Qtr 3,2023,5659.4
October,Qtr 4,2023,3121.7
November,Qtr 4,2023,7033.6
December,Qtr 4,2023,1397.9
January,Qtr 1,2024,4141.1
February,Qtr 1,2024,2713.32
March,Qtr 1,2024,8796.07
April,Qtr 2,2024,4430.87
May,Qtr 2,2024,4878.52
June,Qtr 2,2024,7889.06
July,Qtr 3,2024,3241.75
August,Qtr 3,2024,8249.34
September,Qtr 3,2024,4105.54
October,Qtr 4,2024,2277.1
November,Qtr 4,2024,1248.32
December,Qtr 4,2024,7068.05
January,Qtr 1,2020,9
February,Qtr 1,2020,5
March,Qtr 1,2020,8
April,Qtr 2,2020,9
May,Qtr 2,2020,6
June,Qtr 2,2020,9
July,Qtr 3,2020,9
August,Qtr 3,2020,9
September,Qtr 3,2020,4
October,Qtr 4,2020,0
November,Qtr 4,2020,3
December,Qtr 4,2020,4
January,Qtr 1,2021,5
February,Qtr 1,2021,3
March,Qtr 1,2021,7
April,Qtr 2,2021,1
May,Qtr 2,2021,3
June,Qtr 2,2021,5
July,Qtr 3,2021,1
August,Qtr 3,2021,8
September,Qtr 3,2021,9
October,Qtr 4,2021,1
November,Qtr 4,2021,1
December,Qtr 4,2021,8
January,Qtr 1,2022,0
February,Qtr 1,2022,8
March,Qtr 1,2022,3
April,Qtr 2,2022,5
May,Qtr 2,2022,5024.34
June,Qtr 2,2022,4021.6
July,Qtr 3,2022,2590.96
August,Qtr 3,2022,2321.72
September,Qtr 3,2022,10430.15
October,Qtr 4,2022,54990.34
November,Qtr 4,2022,33070.17
December,Qtr 4,2022,12638.58
January,Qtr 1,2023,52438.94
February,Qtr 1,2023,48881.8
March,Qtr 1,2023,6710.73
April,Qtr 2,2023,14927.4
May,Qtr 2,2023,24741.18
June,Qtr 2,2023,90221.9
July,Qtr 3,2023,39418.66
August,Qtr 3,2023,84440
September,Qtr 3,2023,17261.58
October,Qtr 4,2023,79684.5
November,Qtr 4,2023,68351.83
December,Qtr 4,2023,46122.43
January,Qtr 1,2024,44255.58
February,Qtr 1,2024,99121.56
March,Qtr 1,2024,97078.57
April,Qtr 2,2024,22005.5
May,Qtr 2,2024,352.46
June,Qtr 2,2024,23875.79
July,Qtr 3,2024,6305.76
August,Qtr 3,2024,45399.91
September,Qtr 3,2024,28645.98
October,Qtr 4,2024,93925.76
November,Qtr 4,2024,90162.2
December,Qtr 4,2024,56122.92
January,Qtr 1,2020,3
February,Qtr 1,2020,0
March,Qtr 1,2020,4
April,Qtr 2,2020,4
May,Qtr 2,2020,7
June,Qtr 2,2020,4
July,Qtr 3,2020,6
August,Qtr 3,2020,3
September,Qtr 3,2020,0
October,Qtr 4,2020,5
November,Qtr 4,2020,5
December,Qtr 4,2020,5
January,Qtr 1,2021,6
February,Qtr 1,2021,1
March,Qtr 1,2021,8
April,Qtr 2,2021,4
May,Qtr 2,2021,7
June,Qtr 2,2021,5
July,Qtr 3,2021,8
August,Qtr 3,2021,6
September,Qtr 3,2021,8
October,Qtr 4,2021,1
November,Qtr 4,2021,8
December,Qtr 4,2021,2
January,Qtr 1,2022,4
February,Qtr 1,2022,3
March,Qtr 1,2022,72235.24
April,Qtr 2,2022,18714.63
May,Qtr 2,2022,2955.43
June,Qtr 2,2022,63902.72
July,Qtr 3,2022,9408.19
August,Qtr 3,2022,76391.35
September,Qtr 3,2022,602551
October,Qtr 4,2022,585810.09
November,Qtr 4,2022,17303.44
December,Qtr 4,2022,889791.54
January,Qtr 1,2023,811897.33
February,Qtr 1,2023,386454.26
March,Qtr 1,2023,925179.12
April,Qtr 2,2023,778116.75
May,Qtr 2,2023,722126.08
June,Qtr 2,2023,485530.34
July,Qtr 3,2023,503922.46
August,Qtr 3,2023,356556.01
September,Qtr 3,2023,831422.8
October,Qtr 4,2023,110664.32
November,Qtr 4,2023,412648.88
December,Qtr 4,2023,853176.04
January,Qtr 1,2024,193452.9
February,Qtr 1,2024,14761.05
March,Qtr 1,2024,681549.56
April,Qtr 2,2024,48438.11
May,Qtr 2,2024,278826.01
June,Qtr 2,2024,162739.87
July,Qtr 3,2024,110075.68
August,Qtr 3,2024,890169.69
September,Qtr 3,2024,514555.99
October,Qtr 4,2024,856463.87
November,Qtr 4,2024,389664.71
December,Qtr 4,2024,864003.7
January,Qtr 1,2020,6
February,Qtr 1,2020,6
March,Qtr 1,2020,2
April,Qtr 2,2020,0
May,Qtr 2,2020,0
June,Qtr 2,2020,0
July,Qtr 3,2020,2
August,Qtr 3,2020,4
September,Qtr 3,2020,2
October,Qtr 4,2020,0
November,Qtr 4,2020,9
December,Qtr 4,2020,3
January,Qtr 1,2021,7
February,Qtr 1,2021,9
March,Qtr 1,2021,3
April,Qtr 2,2021,4
May,Qtr 2,2021,1
June,Qtr 2,2021,0
July,Qtr 3,2021,3
August,Qtr 3,2021,2
September,Qtr 3,2021,6
October,Qtr 4,2021,2
November,Qtr 4,2021,2
December,Qtr 4,2021,2
January,Qtr 1,2022,2663.7
February,Qtr 1,2022,7044.53
March,Qtr 1,2022,1504.02
April,Qtr 2,2022,8263.14
May,Qtr 2,2022,8003.49
June,Qtr 2,2022,1932.21
July,Qtr 3,2022,7549.06
August,Qtr 3,2022,5273.58
September,Qtr 3,2022,950.17
October,Qtr 4,2022,5714.65
November,Qtr 4,2022,7428.42
December,Qtr 4,2022,8442.29
January,Qtr 1,2023,3763.13
February,Qtr 1,2023,433.37
March,Qtr 1,2023,3924.58
April,Qtr 2,2023,5385.49
May,Qtr 2,2023,4172.06
June,Qtr 2,2023,3829.9
July,Qtr 3,2023,1100.03
August,Qtr 3,2023,8269.37
September,Qtr 3,2023,861.92
October,Qtr 4,2023,5092.69
November,Qtr 4,2023,7353.08
December,Qtr 4,2023,147.48
January,Qtr 1,2024,4494.36
February,Qtr 1,2024,7031.47
March,Qtr 1,2024,5866.79
April,Qtr 2,2024,9799.81
May,Qtr 2,2024,7132.9
June,Qtr 2,2024,2770.31
July,Qtr 3,2024,8154.2
August,Qtr 3,2024,1747.25
September,Qtr 3,2024,5360.42
October,Qtr 4,2024,5216.32
November,Qtr 4,2024,1746.52
December,Qtr 4,2024,6780.78
January,Qtr 1,2020,1
February,Qtr 1,2020,7
March,Qtr 1,2020,1
April,Qtr 2,2020,3
May,Qtr 2,2020,6
June,Qtr 2,2020,6
July,Qtr 3,2020,1
August,Qtr 3,2020,2
September,Qtr 3,2020,4
October,Qtr 4,2020,1
November,Qtr 4,2020,8
December,Qtr 4,2020,9
January,Qtr 1,2021,1
February,Qtr 1,2021,3
March,Qtr 1,2021,1
April,Qtr 2,2021,0
May,Qtr 2,2021,9
June,Qtr 2,2021,0
July,Qtr 3,2021,5
August,Qtr 3,2021,7
September,Qtr 3,2021,8
October,Qtr 4,2021,0
November,Qtr 4,2021,9
December,Qtr 4,2021,7
January,Qtr 1,2022,85629.36
February,Qtr 1,2022,59888.21
March,Qtr 1,2022,337489.43
April,Qtr 2,2022,818095.26
May,Qtr 2,2022,54081.55
June,Qtr 2,2022,128746.86
July,Qtr 3,2022,184185.13
August,Qtr 3,2022,4845724.2
September,Qtr 3,2022,248486.8
October,Qtr 4,2022,2548291.42
November,Qtr 4,2022,3860612.62
December,Qtr 4,2022,9083000.13
January,Qtr 1,2023,8531713
February,Qtr 1,2023,9490969.8
March,Qtr 1,2023,4107171.3
April,Qtr 2,2023,229453.45
May,Qtr 2,2023,1209268.81
June,Qtr 2,2023,7254164.78
July,Qtr 3,2023,2514645.91
August,Qtr 3,2023,8198642.03
September,Qtr 3,2023,3742297
October,Qtr 4,2023,5182069.46
November,Qtr 4,2023,5198443.19
December,Qtr 4,2023,3222134.1
January,Qtr 1,2024,8921487.5
February,Qtr 1,2024,8914861.05
March,Qtr 1,2024,4604066.55
April,Qtr 2,2024,2689503.34
May,Qtr 2,2024,4568778.47
June,Qtr 2,2024,1253956.2
July,Qtr 3,2024,4581407.76
August,Qtr 3,2024,8254065.95
September,Qtr 3,2024,7391950.78
October,Qtr 4,2024,784412.22
November,Qtr 4,2024,116012.66
December,Qtr 4,2024,825214.26
January,Qtr 1,2020,6
February,Qtr 1,2020,0
March,Qtr 1,2020,2
April,Qtr 2,2020,5
May,Qtr 2,2020,6
June,Qtr 2,2020,9
July,Qtr 3,2020,4
August,Qtr 3,2020,0
September,Qtr 3,2020,8
October,Qtr 4,2020,9
November,Qtr 4,2020,9
December,Qtr 4,2020,1
January,Qtr 1,2021,6
February,Qtr 1,2021,1
March,Qtr 1,2021,0
April,Qtr 2,2021,2
May,Qtr 2,2021,1
June,Qtr 2,2021,5
July,Qtr 3,2021,3
August,Qtr 3,2021,0
September,Qtr 3,2021,3
October,Qtr 4,2021,3
November,Qtr 4,2021,8
December,Qtr 4,2021,7
January,Qtr 1,2022,8416.46
February,Qtr 1,2022,40193.7
March,Qtr 1,2022,86654.5
April,Qtr 2,2022,69002.6
May,Qtr 2,2022,116114.65
June,Qtr 2,2022,362704.08
July,Qtr 3,2022,997788.96
August,Qtr 3,2022,349425.93
September,Qtr 3,2022,195239.99
October,Qtr 4,2022,633727.88
November,Qtr 4,2022,481764.6
December,Qtr 4,2022,525407.6
January,Qtr 1,2023,788741.81
February,Qtr 1,2023,407720.63
March,Qtr 1,2023,864790.23
April,Qtr 2,2023,566680.16
May,Qtr 2,2023,891506.57
June,Qtr 2,2023,674816.36
July,Qtr 3,2023,128797.56
August,Qtr 3,2023,370870.29
September,Qtr 3,2023,319437.52
October,Qtr 4,2023,685391.36
November,Qtr 4,2023,221536.36
December,Qtr 4,2023,836550.7
January,Qtr 1,2024,1424638.5
February,Qtr 1,2024,975208.25
March,Qtr 1,2024,451240.34
April,Qtr 2,2024,191863.34
May,Qtr 2,2024,425952.92
June,Qtr 2,2024,154993.8
July,Qtr 3,2024,921323.42
August,Qtr 3,2024,635320.69
September,Qtr 3,2024,653361.44
October,Qtr 4,2024,786216.48
November,Qtr 4,2024,777877.24
December,Qtr 4,2024,66336.95
January,Qtr 1,2020,4
February,Qtr 1,2020,8
March,Qtr 1,2020,0
April,Qtr 2,2020,3
May,Qtr 2,2020,7
June,Qtr 2,2020,7
July,Qtr 3,2020,4
August,Qtr 3,2020,6
September,Qtr 3,2020,9
October,Qtr 4,2020,0
November,Qtr 4,2020,4
December,Qtr 4,2020,9
January,Qtr 1,2021,8
February,Qtr 1,2021,1
March,Qtr 1,2021,7
April,Qtr 2,2021,0
May,Qtr 2,2021,0
June,Qtr 2,2021,6
July,Qtr 3,2021,6
August,Qtr 3,2021,0
September,Qtr 3,2021,3
October,Qtr 4,2021,5
November,Qtr 4,2021,2
December,Qtr 4,2021,7
January,Qtr 1,2022,8
February,Qtr 1,2022,7
March,Qtr 1,2022,5
April,Qtr 2,2022,3
May,Qtr 2,2022,5
June,Qtr 2,2022,46400.2
July,Qtr 3,2022,1442.1
August,Qtr 3,2022,57698.7
September,Qtr 3,2022,862760.17
October,Qtr 4,2022,165221.2
November,Qtr 4,2022,632807.51
December,Qtr 4,2022,248548.03
January,Qtr 1,2023,1054793.1
February,Qtr 1,2023,551848.97
March,Qtr 1,2023,453974.26
April,Qtr 2,2023,464828.23
May,Qtr 2,2023,424298.27
June,Qtr 2,2023,55430.26
July,Qtr 3,2023,354758.21
August,Qtr 3,2023,716533.29
September,Qtr 3,2023,838928.29
October,Qtr 4,2023,293691.82
November,Qtr 4,2023,992137.03
December,Qtr 4,2023,86940.41
January,Qtr 1,2024,6234934.46
February,Qtr 1,2024,726807.3
March,Qtr 1,2024,385295.01
April,Qtr 2,2024,790550.85
May,Qtr 2,2024,225908.44
June,Qtr 2,2024,493884.14
July,Qtr 3,2024,790057.16
August,Qtr 3,2024,342362.32
September,Qtr 3,2024,2974.61
October,Qtr 4,2024,398572.49
November,Qtr 4,2024,666664.23
December,Qtr 4,2024,994527.71
January,Qtr 1,2020,4
February,Qtr 1,2020,7
March,Qtr 1,2020,4
April,Qtr 2,2020,1
May,Qtr 2,2020,9
June,Qtr 2,2020,6
July,Qtr 3,2020,1
August,Qtr 3,2020,4
September,Qtr 3,2020,6
October,Qtr 4,2020,7
November,Qtr 4,2020,5
December,Qtr 4,2020,8
January,Qtr 1,2021,9
February,Qtr 1,2021,3
March,Qtr 1,2021,7
April,Qtr 2,2021,2
May,Qtr 2,2021,1
June,Qtr 2,2021,4
July,Qtr 3,2021,6
August,Qtr 3,2021,0
September,Qtr 3,2021,9
October,Qtr 4,2021,2
November,Qtr 4,2021,5
December,Qtr 4,2021,7
January,Qtr 1,2022,6174.22
February,Qtr 1,2022,1094.37
March,Qtr 1,2022,9435.02
April,Qtr 2,2022,2218.87
May,Qtr 2,2022,4114.84
June,Qtr 2,2022,6284.62
July,Qtr 3,2022,7150.39
August,Qtr 3,2022,1387.78
September,Qtr 3,2022,725.57
October,Qtr 4,2022,7321.55
November,Qtr 4,2022,1727.57
December,Qtr 4,2022,6764.88
January,Qtr 1,2023,90455.56
February,Qtr 1,2023,1814.69
March,Qtr 1,2023,2555.54
April,Qtr 2,2023,5986.92
May,Qtr 2,2023,7716.24
June,Qtr 2,2023,7334.73
July,Qtr 3,2023,7553.76
August,Qtr 3,2023,2350.55
September,Qtr 3,2023,8636.22
October,Qtr 4,2023,5765.26
November,Qtr 4,2023,1959.18
December,Qtr 4,2023,8015
January,Qtr 1,2024,84412.69
February,Qtr 1,2024,7291.79
March,Qtr 1,2024,3282.99
April,Qtr 2,2024,9230.19
May,Qtr 2,2024,1062.26
June,Qtr 2,2024,1044.49
July,Qtr 3,2024,3000.55
August,Qtr 3,2024,9125.64
September,Qtr 3,2024,9117.73
October,Qtr 4,2024,1643.88
November,Qtr 4,2024,4918.32
December,Qtr 4,2024,1824.87
January,Qtr 1,2020,4
February,Qtr 1,2020,3
March,Qtr 1,2020,3
April,Qtr 2,2020,1
May,Qtr 2,2020,3
June,Qtr 2,2020,0
July,Qtr 3,2020,5
August,Qtr 3,2020,3
September,Qtr 3,2020,4
October,Qtr 4,2020,0
November,Qtr 4,2020,8
December,Qtr 4,2020,6
January,Qtr 1,2021,3
February,Qtr 1,2021,1
March,Qtr 1,2021,7
April,Qtr 2,2021,6
May,Qtr 2,2021,7
June,Qtr 2,2021,2
July,Qtr 3,2021,7
August,Qtr 3,2021,7
September,Qtr 3,2021,0
October,Qtr 4,2021,1
November,Qtr 4,2021,0
December,Qtr 4,2021,5
January,Qtr 1,2022,44613.62
February,Qtr 1,2022,26861.96
March,Qtr 1,2022,65208.93
April,Qtr 2,2022,5130.68
May,Qtr 2,2022,99502.77
June,Qtr 2,2022,68734.2
July,Qtr 3,2022,53112.35
August,Qtr 3,2022,96102.34
September,Qtr 3,2022,261091.92
October,Qtr 4,2022,150705.03
November,Qtr 4,2022,476883.18
December,Qtr 4,2022,26328.07
January,Qtr 1,2023,239408.51
February,Qtr 1,2023,761053
March,Qtr 1,2023,741673.22
April,Qtr 2,2023,831552.56
May,Qtr 2,2023,178917.42
June,Qtr 2,2023,991502.55
July,Qtr 3,2023,276886.09
August,Qtr 3,2023,399937.1
September,Qtr 3,2023,610033.02
October,Qtr 4,2023,922571.83
November,Qtr 4,2023,291835.69
December,Qtr 4,2023,939544.3
January,Qtr 1,2024,577939.44
February,Qtr 1,2024,106685.96
March,Qtr 1,2024,651700.04
April,Qtr 2,2024,590040.07
May,Qtr 2,2024,662406.67
June,Qtr 2,2024,767618.64
July,Qtr 3,2024,125886.48
August,Qtr 3,2024,675897.68
September,Qtr 3,2024,168220.2
October,Qtr 4,2024,629607.36
November,Qtr 4,2024,112850.31
December,Qtr 4,2024,639829.59
January,Qtr 1,2020,3
February,Qtr 1,2020,9
March,Qtr 1,2020,9
April,Qtr 2,2020,9
May,Qtr 2,2020,9
June,Qtr 2,2020,0
July,Qtr 3,2020,0
August,Qtr 3,2020,8
September,Qtr 3,2020,9
October,Qtr 4,2020,2
November,Qtr 4,2020,1
December,Qtr 4,2020,1
January,Qtr 1,2021,5
February,Qtr 1,2021,9
March,Qtr 1,2021,3
April,Qtr 2,2021,7
May,Qtr 2,2021,7
June,Qtr 2,2021,9
July,Qtr 3,2021,8
August,Qtr 3,2021,5
September,Qtr 3,2021,1
October,Qtr 4,2021,9
November,Qtr 4,2021,6
December,Qtr 4,2021,7
January,Qtr 1,2022,3
February,Qtr 1,2022,0
March,Qtr 1,2022,858.79
April,Qtr 2,2022,858.21
May,Qtr 2,2022,593.74
June,Qtr 2,2022,5941.36
July,Qtr 3,2022,76748.92
August,Qtr 3,2022,34692.46
September,Qtr 3,2022,29180.8
October,Qtr 4,2022,51312.5
November,Qtr 4,2022,78056.21
December,Qtr 4,2022,20031.61
January,Qtr 1,2023,47516.67
February,Qtr 1,2023,13997.94
March,Qtr 1,2023,5923.94
April,Qtr 2,2023,54249.69
May,Qtr 2,2023,96415.12
June,Qtr 2,2023,45076.47
July,Qtr 3,2023,10990.99
August,Qtr 3,2023,99096.26
September,Qtr 3,2023,8358.44
October,Qtr 4,2023,87181.47
November,Qtr 4,2023,82793.56
December,Qtr 4,2023,59232.25
January,Qtr 1,2024,65706.22
February,Qtr 1,2024,51828.2
March,Qtr 1,2024,14691.28
April,Qtr 2,2024,4453.97
May,Qtr 2,2024,96306.89
June,Qtr 2,2024,22300.52
July,Qtr 3,2024,48949.21
August,Qtr 3,2024,3516.56
September,Qtr 3,2024,45538.33
October,Qtr 4,2024,2864.36
November,Qtr 4,2024,20208.71
December,Qtr 4,2024,73331.44
January,Qtr 1,2020,4
February,Qtr 1,2020,9
March,Qtr 1,2020,2
April,Qtr 2,2020,7
May,Qtr 2,2020,3
June,Qtr 2,2020,2
July,Qtr 3,2020,8
August,Qtr 3,2020,7
September,Qtr 3,2020,2
October,Qtr 4,2020,9
November,Qtr 4,2020,1
December,Qtr 4,2020,9
January,Qtr 1,2021,2
February,Qtr 1,2021,2
March,Qtr 1,2021,1
April,Qtr 2,2021,5
May,Qtr 2,2021,9
June,Qtr 2,2021,5
July,Qtr 3,2021,2
August,Qtr 3,2021,4
September,Qtr 3,2021,6
October,Qtr 4,2021,5
November,Qtr 4,2021,9
December,Qtr 4,2021,5
January,Qtr 1,2022,5
February,Qtr 1,2022,1
March,Qtr 1,2022,3
April,Qtr 2,2022,2
May,Qtr 2,2022,6
June,Qtr 2,2022,6
July,Qtr 3,2022,4
August,Qtr 3,2022,6
September,Qtr 3,2022,0
October,Qtr 4,2022,6
November,Qtr 4,2022,3
December,Qtr 4,2022,7
January,Qtr 1,2023,4
February,Qtr 1,2023,7
March,Qtr 1,2023,0
April,Qtr 2,2023,0
May,Qtr 2,2023,8
June,Qtr 2,2023,0
July,Qtr 3,2023,5
August,Qtr 3,2023,8
September,Qtr 3,2023,8
October,Qtr 4,2023,9
November,Qtr 4,2023,8
December,Qtr 4,2023,904.77
January,Qtr 1,2024,405.2
February,Qtr 1,2024,474.22
March,Qtr 1,2024,612.16
April,Qtr 2,2024,285.74
May,Qtr 2,2024,271.53
June,Qtr 2,2024,64.36
July,Qtr 3,2024,377.37
August,Qtr 3,2024,371.18
September,Qtr 3,2024,221.27
October,Qtr 4,2024,914.62
November,Qtr 4,2024,136.99
December,Qtr 4,2024,621.53
January,Qtr 1,2020,4
February,Qtr 1,2020,0
March,Qtr 1,2020,3
April,Qtr 2,2020,1
May,Qtr 2,2020,0
June,Qtr 2,2020,0
July,Qtr 3,2020,9
August,Qtr 3,2020,1
September,Qtr 3,2020,2
October,Qtr 4,2020,4
November,Qtr 4,2020,9
December,Qtr 4,2020,5
January,Qtr 1,2021,1
February,Qtr 1,2021,4
March,Qtr 1,2021,5
April,Qtr 2,2021,3
May,Qtr 2,2021,2
June,Qtr 2,2021,2
July,Qtr 3,2021,3
August,Qtr 3,2021,2
September,Qtr 3,2021,7
October,Qtr 4,2021,4
November,Qtr 4,2021,2
December,Qtr 4,2021,3
January,Qtr 1,2022,2
February,Qtr 1,2022,3
March,Qtr 1,2022,4
April,Qtr 2,2022,1
May,Qtr 2,2022,5
June,Qtr 2,2022,0
July,Qtr 3,2022,28582.77
August,Qtr 3,2022,77621.92
September,Qtr 3,2022,32299.31
October,Qtr 4,2022,60843.2
November,Qtr 4,2022,608874.56
December,Qtr 4,2022,297288.9
January,Qtr 1,2023,672736.36
February,Qtr 1,2023,727595.15
March,Qtr 1,2023,78841.32
April,Qtr 2,2023,736810.51
May,Qtr 2,2023,377816.25
June,Qtr 2,2023,949301.17
July,Qtr 3,2023,271564.8
August,Qtr 3,2023,288144.82
September,Qtr 3,2023,963993.26
October,Qtr 4,2023,449560.14
November,Qtr 4,2023,511424.61
December,Qtr 4,2023,523347.86
January,Qtr 1,2024,661478.95
February,Qtr 1,2024,363281.74
March,Qtr 1,2024,94984.93
April,Qtr 2,2024,69148.33
May,Qtr 2,2024,666243.79
June,Qtr 2,2024,234486.75
July,Qtr 3,2024,563030.69
August,Qtr 3,2024,100587.78
September,Qtr 3,2024,483897.62
October,Qtr 4,2024,969749.65
November,Qtr 4,2024,923502.49
December,Qtr 4,2024,763351.28
January,Qtr 1,2020,2
February,Qtr 1,2020,0
March,Qtr 1,2020,5
April,Qtr 2,2020,9
May,Qtr 2,2020,2
June,Qtr 2,2020,9
July,Qtr 3,2020,4
August,Qtr 3,2020,1
September,Qtr 3,2020,3
October,Qtr 4,2020,7
November,Qtr 4,2020,6
December,Qtr 4,2020,0
January,Qtr 1,2021,3
February,Qtr 1,2021,7
March,Qtr 1,2021,5
April,Qtr 2,2021,8
May,Qtr 2,2021,8
June,Qtr 2,2021,2
July,Qtr 3,2021,1
August,Qtr 3,2021,4
September,Qtr 3,2021,0
October,Qtr 4,2021,3
November,Qtr 4,2021,5
December,Qtr 4,2021,3
January,Qtr 1,2022,3
February,Qtr 1,2022,4
March,Qtr 1,2022,5
April,Qtr 2,2022,7
May,Qtr 2,2022,6
June,Qtr 2,2022,1
July,Qtr 3,2022,99039
August,Qtr 3,2022,45383
September,Qtr 3,2022,23930
October,Qtr 4,2022,32950
November,Qtr 4,2022,44005
December,Qtr 4,2022,22014
January,Qtr 1,2023,82967
February,Qtr 1,2023,95815
March,Qtr 1,2023,94493
April,Qtr 2,2023,34758
May,Qtr 2,2023,41598
June,Qtr 2,2023,55031
July,Qtr 3,2023,88833
August,Qtr 3,2023,228
September,Qtr 3,2023,55106
October,Qtr 4,2023,3157
November,Qtr 4,2023,54648
December,Qtr 4,2023,17085
January,Qtr 1,2024,9825
February,Qtr 1,2024,62132
March,Qtr 1,2024,4031
April,Qtr 2,2024,55967
May,Qtr 2,2024,25807
June,Qtr 2,2024,51760
July,Qtr 3,2024,23315
August,Qtr 3,2024,15814
September,Qtr 3,2024,55469
October,Qtr 4,2024,6424
November,Qtr 4,2024,49631
December,Qtr 4,2024,27212
January,Qtr 1,2020,8
February,Qtr 1,2020,7
March,Qtr 1,2020,6
April,Qtr 2,2020,1
May,Qtr 2,2020,0
June,Qtr 2,2020,1
July,Qtr 3,2020,2
August,Qtr 3,2020,6
September,Qtr 3,2020,2
October,Qtr 4,2020,2
November,Qtr 4,2020,8
December,Qtr 4,2020,7
January,Qtr 1,2021,1
February,Qtr 1,2021,2
March,Qtr 1,2021,4
April,Qtr 2,2021,3
May,Qtr 2,2021,6
June,Qtr 2,2021,8
July,Qtr 3,2021,0
August,Qtr 3,2021,8
September,Qtr 3,2021,4
October,Qtr 4,2021,3
November,Qtr 4,2021,2
December,Qtr 4,2021,0
January,Qtr 1,2022,3539.2
February,Qtr 1,2022,28187.36
March,Qtr 1,2022,33406.69
April,Qtr 2,2022,17614.2
May,Qtr 2,2022,79840.42
June,Qtr 2,2022,26033.11
July,Qtr 3,2022,56568.1
August,Qtr 3,2022,99223.6
September,Qtr 3,2022,77772.07
October,Qtr 4,2022,69465.15
November,Qtr 4,2022,92905
December,Qtr 4,2022,91293.74
January,Qtr 1,2023,995861.98
February,Qtr 1,2023,55644.3
March,Qtr 1,2023,18068.62
April,Qtr 2,2023,91957.38
May,Qtr 2,2023,61916.84
June,Qtr 2,2023,21029.16
July,Qtr 3,2023,84417.99
August,Qtr 3,2023,56271.77
September,Qtr 3,2023,44504.4
October,Qtr 4,2023,41596.88
November,Qtr 4,2023,98054.14
December,Qtr 4,2023,82585.84
January,Qtr 1,2024,849938.14
February,Qtr 1,2024,15020.74
March,Qtr 1,2024,10078.18
April,Qtr 2,2024,74769.35
May,Qtr 2,2024,36471.05
June,Qtr 2,2024,23228.61
July,Qtr 3,2024,5370.34
August,Qtr 3,2024,98799.61
September,Qtr 3,2024,59482.41
October,Qtr 4,2024,51979.11
November,Qtr 4,2024,86158.93
December,Qtr 4,2024,2283.06
January,Qtr 1,2020,5
February,Qtr 1,2020,0
March,Qtr 1,2020,0
April,Qtr 2,2020,2
May,Qtr 2,2020,7
June,Qtr 2,2020,3
July,Qtr 3,2020,8
August,Qtr 3,2020,8
September,Qtr 3,2020,5
October,Qtr 4,2020,3
November,Qtr 4,2020,2
December,Qtr 4,2020,1
January,Qtr 1,2021,1
February,Qtr 1,2021,7
March,Qtr 1,2021,0
April,Qtr 2,2021,0
May,Qtr 2,2021,7
June,Qtr 2,2021,4
July,Qtr 3,2021,6
August,Qtr 3,2021,5
September,Qtr 3,2021,4
October,Qtr 4,2021,2
November,Qtr 4,2021,0
December,Qtr 4,2021,0
January,Qtr 1,2022,4
February,Qtr 1,2022,6
March,Qtr 1,2022,3
April,Qtr 2,2022,1
May,Qtr 2,2022,4
June,Qtr 2,2022,684547
July,Qtr 3,2022,455043.96
August,Qtr 3,2022,283905.87
September,Qtr 3,2022,337158
October,Qtr 4,2022,235860.9
November,Qtr 4,2022,526133.17
December,Qtr 4,2022,101569.98
January,Qtr 1,2023,218465
